TARGET,ADA-USD,AVAX-USD,AXS-USD,BNB-USD,BTC-USD,DOGE-USD,DOT-USD,ETH-USD,LINK-USD,SHIB-USD,SOL-USD,UNI7083-USD,XRP-USD
Buy,0.049,3.13,13,226.56,9175,0.054,4.54,554,6.3,0.00000622,21.4,5,0.173
Sell,2.96,134.53,140,634.34,60883,0.63,53.44,4646,33,0.000072,258.93,30,1.76
