TARGET,000063.SZ,002594.SZ,0981.HK,2330.TW,300750.SZ,BABA,BIDU,SAIC,TCEHY,WB,XIACF
Buy,13.04,41.69,6.35,41.49,67.85,60.59,97.2,12.55,33.12,13.79,1.08
Sell,50.86,306.78,41.25,683,658,302.05,313,35.2,99.1,134.74,4.26
