TARGET,AAPL,AMZN,BA,FB,GOOG,INTC,KO,LLY,MSFT,NVDA,QCOM,TSLA,TWTR
Buy,39.21,75,100,150,979.54,12.9,38.3,76.23,100.39,34.05,60.91,400,23.09
Sell,179.45,182.8,391,350,2973.50,68.26,60.29,292,323.8,329.85,180.41,1114,72
